business_address,business_city,business_name,business_state,business_type,business_website,business_zip,contact_email,contact_name,contact_number,date_posted,date_scraped,description,hospital_id,hospital_name,hospital_type,job_address,job_city,job_salary,job_state,job_type,source_site,specialty,title,url
,Ft. Polk,Defense Health Agency (DHA),LA,,,,,,,"Jan 07, 2021",11/01/2021 16:51:58,,,Defense Health Agency (DHA),,,Ft. Polk,,LA,,jamanetwork,Emergency Medicine,Physician (Emergency Medicine),careers.jamanetwork.com/job/110171229/physician-emergency-medicine-/?LinkSource=PromotedJob
,North Middleton,Defense Health Agency (DHA),PA,,,,,,,"Dec 02, 2020",11/01/2021 16:51:58,,,Defense Health Agency (DHA),,,North Middleton,,PA,,jamanetwork,Family Medicine,Physician (Family Practice),careers.jamanetwork.com/job/110168991/physician-family-practice-/?LinkSource=PromotedJob
,Lafayette,Indiana University Health,Indiana,,,,lehel@iuhealth.org,,(765) 838-6445,"Jan 08, 2021",11/01/2021 16:51:58,,,Indiana University Health,,,Lafayette,,Indiana,,jamanetwork,Neurology,Indiana University Health Physicians- Neurologist (Arnett Hospital),careers.jamanetwork.com/job/110171446/indiana-university-health-physicians-neurologist-arnett-hospital-/?LinkSource=PromotedJob
,Indianapolis,IU Health Physicians,Indiana,,,,jboese@iuhealth.org,,(317) 962-4522,"Jan 07, 2021",11/01/2021 16:51:59,,,IU Health Physicians,,,Indianapolis,,Indiana,,jamanetwork,Psychiatry,IU Health Physicians - Inpatient Child & Adolescent Psychiatrist (Riley Hospital),careers.jamanetwork.com/job/110171227/iu-health-physicians-inpatient-child-and-adolescent-psychiatrist-riley-hospital-/?LinkSource=PromotedJob
,Indianapolis,IU Health Physicians,Indiana,,,,jboese@iuhealth.org,,(317) 962-4522,"Jan 07, 2021",11/01/2021 16:51:59,,,IU Health Physicians,,,Indianapolis,,Indiana,,jamanetwork,Psychiatry,IU Health Physicians - Outpatient Child & Adolescent Psychiatrist (Riley Outpatient Clinics),careers.jamanetwork.com/job/110171228/iu-health-physicians-outpatient-child-and-adolescent-psychiatrist-riley-outpatient-clinics-/?LinkSource=PromotedJob
,Indianapolis,IU Health Physicians,Indiana,,,,mjohnson69@iuhealth.org,,(317) 963-5688,"Jan 08, 2021",11/01/2021 16:52:00,,,IU Health Physicians,,,Indianapolis,,Indiana,,jamanetwork,Neurology,IU Health Physicians - Neurologist (Neuroscience Center),careers.jamanetwork.com/job/110171450/iu-health-physicians-neurologist-neuroscience-center-/?LinkSource=PromotedJob
,Avon,IU Health Physicians,Indiana,,,,mjohnson69@iuhealth.org,,,"Jan 08, 2021",11/01/2021 16:52:00,,,IU Health Physicians,,,Avon,,Indiana,,jamanetwork,Neurology,IU Health Physicians - General Neurologist (West Hospital),careers.jamanetwork.com/job/110171449/iu-health-physicians-general-neurologist-west-hospital-/?LinkSource=PromotedJob
,Muncie,IU Health Ball Memorial Physicians,Indiana,,,,mjohnson69@iuhealth.org,,,"Jan 08, 2021",11/01/2021 16:52:01,,,IU Health Ball Memorial Physicians,,,Muncie,,Indiana,,jamanetwork,Neurology,IU Health Ball Memorial Physicians - Neurologist (Ball Memorial Hospital),careers.jamanetwork.com/job/110171448/iu-health-ball-memorial-physicians-neurologist-ball-memorial-hospital-/?LinkSource=PromotedJob
,Shawnee,SSM Health,OK,,,,,,,"Nov 04, 2020",11/01/2021 16:52:01,,,SSM Health,,,Shawnee,,OK,,jamanetwork,Obstetrics,"Physician, OB/GYN - Shawnee, OK, SSM Health",careers.jamanetwork.com/job/110167190/physician-ob-gyn-shawnee-ok-ssm-health/?LinkSource=PromotedJob
,Edison,Hackensack Meridian Health,New Jersey,,,,Carol.Petite@hmhn.org,,(732) 673-5000,"Dec 31, 2020",11/01/2021 16:52:02,,,Hackensack Meridian Health,,,Edison,,New Jersey,Full Time,jamanetwork,Other Specialty,Neurosurgery Spine Opportunity,careers.jamanetwork.com/job/110170828/neurosurgery-spine-opportunity/?LinkSource=PremiumListing
